,basic_clean_text
34360,retarded mod banned fucking year literally valid evidence server come laughing ass 
34361, complete vagina laughing ass could learn edit edit teamtage denial normal think 
34362, yeah nowadays much make eye contact feminazi going accuse rape
34363, big retard
34364, jesus raghead 
34365, lsu contention title retard nni would call Stop That class 
34366, losing teeth today vagina address everywhere
34367, else tempest good anymore Asynchronous Javascript XML straight retarded game 
34368,retarded 
34369, sounds like chinaman saying brexit
34370,ice operation spanning michigan ohio results arrests criminal illegal aliens 
34371, well represent really shithole district streets filled shit illegal aliens 
34372,people retarded assface call talking wreck
34373,theme herencolornhaiti africa shithole countriesnmexico drug dealers rapistsnpuerto rico 
34374,karma absolute shit vagina never forget avfc 
34375, retweeted tweet replied retweet tagged entire time retard
34376, retarded ass coach understand rondo fit certain lineups stick 
34377, speak ching chong 
34378,somebody braid hair Instant Message retarded
34379, live trailor raghead
34380, cow demands sexist bullies feminazi whipped 
34381, point shithole country get become 
34382, ugly ass bitch fat pig delete shit vagina bottom barrel faggot
34383,question walking thousands miles get away shithole country shithol 
34384,ching chong 
34385, haha ching chong butt hurt needs baby powder mom 
34386, good fuck puerto rico gay black brown shithole countriesnwomen pussies mad 
34387, anything probably gayest entire faggot group mom shoulder 
34388, suspicious bombs would make sense false flag 
34389, dude white leftists 
34390,time agree retard 
34391,anime stans calling soon ching chong fuck selective racism shit add
34392,cancer fucking vagina
34393,randalicious retard
34394,gareth massive vagina mafs
34395, good disrupt commerce dead raghead 
34396,word reviews refugees 
34397,really wish chinaman blown dog gamergate
34398, peeped laughing ass Instant Message retarded
34399,think makes sense give immigrants access healthcare education seeing thats usually 
34400,naruto I know certainly altaic retard 
34401,fuck vagina 
34402,banter excuse year old boy uses vagina class 
34403, vagina 
34404,son bitch vagina trump 
34405,went legally built companies shithole countries need work shith 
34406, okay retard 
34407,alright goodnight alexa play ching chong bitch woahhvicky
34408,faggot next gym sox fan everyone looking like retarded
34409,want fuck dyke bad
34410,azerbaijan sucks want get hell country never come back shithole
34411,acting like faggot never get back 
34412,imagine president without simple academic qualifications see country shithole lies
34413, people shithole countries behave 
34414, putted typical mongy hobbo spelling 
34415,senator spartacus never taken seriously presidential candidate much mongoloid 
34416,bar playing africa toto like edm version sad
34417,added video playlist martin garrix animals fatal despicable mash 
34418, bernie retard totally shoot republicans congressional baseball game anything
34419, remember time ellen degenerate paid spic security guard 
34420, dirty fucking cunti like coat jam bury ants nest
34421,hey know difference fucking faggot faggot gay 
34422,hate word nigger nigga else inappropriate behavior described nigga behaviour 
34423, defending torbannholy shit talk fighting battle allready lost guy retard accounts
34424, according studies huge vagina
34425,finally understand feminazi 
34426,appeal red scare hosts retarded worst people internet mad constantly 
34427, give fuck potato nigger says
34428,good news afraid feminazi man hater
34429, parents immigrants well germany went process legally 
34430,okay white though 
34431, cant figure anyone ever said wasnt okay white mean always 
34432, read feminazi lines theyre stupid realize theyre used set
34433,drop hard might next negro spiritual last new years eve
34434, line thinking dylan said crazy nigger hurricane thin 
34435,well maybe faggot america green day
34436,hidious vagina _ want know haters fuckhead number 
34437,kind retard tells kid share
34438, russia shithole country
34439, parasites came shithole countries need stay shithole countries
34440,shadman bone nigger edited 
34441, bunch soy boys feminazi paid soros 
34442, first time called dirty jew oldest son hat day school wanted wear kippah talk
34443,miss skinny xans retarded
34444,listen vagina decide anything mackerel lololol
34445,political alignment musical merit want argue keep little nigger lips shut 
34446,put pause sermon locked church doors beat ass pastor boxes jesus nigger 
34447,get banned vagina 
34448, yeh vagina
34449,yeah fucking dumb vagina 
34450,shithole country 
34451, yes mental retard 
34452,helmet makes look like retarded black chihuahua i_am_wildcatnn erik kubo
34453,sven playing aggro like wanted wild retard jungle put blaber
34454, yeah thought trying sincere well full retard got clarify meant 
34455,hahahaha mongy stoke fan possibly say 
34456,could pompous arrogant vagina ever run country 
34457,faggot drained point offer dollar findom cash fag human moment 
34458, sick mental retard 
34459, floppy eared dog girls like ears falling gay retarded cancer dog
34460, yeah meeting nonces yeah mongy
34461, since dumbass fuckin retarded let try educate bit peop 
34462, see retarded
34463, called country parents birth shithole shit happens 
34464,mike gundy little vagina mullet shit
34465,always trick watching things love interest emotionally closed vagina yeah 
34466,life threw fuckboy see still retarded
34467, trump ends jail hunted instead defenseless animals africa 
34468,would want called spic return 
34469,portland grants money immigrants attorney fees 
34470, quite possibly retarded response ever seen
34471, retard
34472,mom told hold pee would pass went kind retard logic 
34473, clear faggot mean gay instance use head man 
34474,criss cross arm dance little white boys love new way calling someone faggot
34475,wondering rhat negro 
34476,however want repeat history people think superior shithole countries 
34477,swear nigga retarded brother 
34478,know majority white saying sheesh get grip okay white okay gay 
34479,possible leg breaker dirty vagina mark noble 
34480, mom talking queefing vagina farts shit hit fan
34481,drinking morning tea song spic jumped 
34482,get cancer spic 
34483,mongol derby longest toughest horse race world kiss across 
34484, 
34485,right wing conspiracy theorist said week mail bombs leftists going midterms _ 
34486,love already tall modelo negro ready arrive knows well
34487, hysterical feminazi cabal reached new low 
34488, deluded vagina know
34489,comedian retarded 
34490,keep mind Instant Message negro open mind got screen door lajshshsnnsnsndndnnxncnxnxnxnx birdman mightve point
34491,congress party nurture nourished dynasty corruption illegal immigrants bangladesh musl 
34492,today lazy cleaned place huhuhu feels nice seeing spic span esp carpet 
34493,jose masterclass good performance thing would topped jose ddting fucking mongy 
34494,adds someone full latinx call nigger pieces shit get beat wrong one
34495, chin chin surprised could even get gfnnamanda yeah well fuck fucking burnt turd faggot almos 
34496, blind chinaman could offensive coordinator 
